address,city,state,country,hotel_star_rating,per_day_price,latitude,longitude,pageurl,property_id,property_name,room_type,uniq_id
12/2 Adichunchangiri Road Kuvempunagar. 570023 Mysore. India – Show map,mysore,Karnataka,India,,4019,12.29355231,76.63265347,http://www.booking.com/hotel/in/mysore-homes.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=01&checkin_year_month=2016-12&checkout_monthday=02&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1640494,Mysore Homes,Superior Twin Room,60c8c27580685fe1eb7a242db005add7
Pimpalwadi Road . 423109 Shirdi. India – Great location -,shirdi,Maharashtra,India,4 stars,1299,19.7675808,74.4766939,http://www.booking.com/hotel/in/sharan.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=03&checkin_year_month=2016-12&checkout_monthday=04&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,548678,Sharan,Standard Triple Room with Fan,4daf50dc6b374f9e0088e573fd39f0d1
,gurgaon,Haryana,India,3-star hotel,1299,28.44990311,77.0410037,http://www.booking.com/hotel/in/villa-a2.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=05&checkin_year_month=2016-12&checkout_monthday=06&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,,,Studio Suite,1fcc44ce1f79d237e5f985f6705376d9
,nelamangala,Karnataka,India,3-star hotel,1299,13.04324329,77.48294726,http://www.booking.com/hotel/in/ankitvista-green-village.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=03&checkin_year_month=2016-12&checkout_monthday=04&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,,,Suite,93b21b1b0e4a07b1d0dfca2d80f539ad
310. Lajpat Nagar Ambedkar Chowk Jalandhar. 144001 Jalandhar. India – Show map,jalandhar,Punjab,India,,2539,31.31843329,75.57247129,http://www.booking.com/hotel/in/aman-39-s-inn.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=16&checkin_year_month=2016-12&checkout_monthday=17&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1489926,Hotel Aman's Inn,Deluxe Room,130657a50ab53cf1f7497804b92bb4d5
Opp. Shiva Temple. Near Sri Sai Aasram 1000 Rooms.. Manmad Nagar Road. Shirdi. 423109 Shirdi. India – Show map,shirdi,Maharashtra,India,,3360,19.7523473,74.47728364,http://www.booking.com/hotel/in/shri-sainivas-mega-residency.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=17&checkin_year_month=2016-12&checkout_monthday=18&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1663773,Shri Sainivas Mega Residency,Suite,987f0161ea9e42e3334b88b1e9c55038
Bakraur Village Road. Gaya. 824231 Bodh Gaya. India – Show map,bodh gaya,Bihar,India,4-star hotel,1299,24.68030392,84.9988389,http://www.booking.com/hotel/in/mahamaya-palace-amp-conference-center.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=01&checkin_year_month=2016-12&checkout_monthday=02&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,570832,Mahamaya Palace Hotel & Conference Center,Deluxe Twin Room,6d3e4e198dcd61ecae792977eec93f21
Alka Residency. Station Road. Opp Ashok Cinema.Station Road. 400601 Thane. India – Show map,thane,Maharashtra,India,5 stars,3549,19.187718,72.976868,http://www.booking.com/hotel/in/oyo-rooms-thane-station-2.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=09&checkin_year_month=2016-12&checkout_monthday=10&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1829461,OYO Rooms Thane Station 2,Bungalow,52270c7bf5e72f0343e514d64317a035
Near national public school. Fatehpur road. mandawa Jhunjhunu. rajasthan.India. 333001 Mandāwa. India – Show map,mandāwa,Rajasthan,India,1-star hotel,499,28.05401233,75.14528811,http://www.booking.com/hotel/in/royal-rest.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=01&checkin_year_month=2016-12&checkout_monthday=02&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1760534,Hotel Royal Rest,Deluxe Double Room,025b7f0e628196f874594460da8d614e
Central Town. Gali # 3. Opp. MCJ Shopping Complex. 144000 Jalandhar. India – Show map,jalandhar,Punjab,India,,2670,31.32527388,75.5825601,http://www.booking.com/hotel/in/starihotels-central-town-jalandhar.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=09&checkin_year_month=2016-12&checkout_monthday=10&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1670187,STARiHOTELS Central Town Jalandhar,Deluxe Double Room,c688c175b25970504d2d1637ed73e63f
