address,city,state,country,hotel_rating,per_day_price,property_name,property_id,room_type,uniq_id,latitude,longitude,pageurl
Sunny Side. Chadiyari. 175131 Manāli. India – Great location -,Manāli,Himachal Pradesh,India,5-star hotel,9999,Manuallaya The Resort & Spa,502590,Double Room with Garden View,e34224d860dde9ed64122cf8a3aaf34f,32.25472894,77.19280601,http://www.booking.com/hotel/in/manuallaya-the-resort-amp-spa.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=09&checkin_year_month=2016-12&checkout_monthday=10&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000
Lake Road. Kodaikanal. 624101 Kodaikānāl. India – Great location -,Kodaikānāl,Tamil Nadu,India,5-star hotel,9909,The Carlton,550173,Deluxe Double or Twin Room,50324581f2dc003b3e80ce2c15d8a4f8,10.23446601,77.48840457,http://www.booking.com/hotel/in/the-carlton.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=05&checkin_year_month=2016-12&checkout_monthday=06&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000
Vipin Khand. 226010 Lucknow. India – Great location -,Lucknow,Uttar Pradesh,India,5-star hotel,9809,Renaissance Lucknow Hotel,1488299,Deluxe Double or Twin Room with City View,a0c724393820ed20d26dd3e607825f7c,26.8523321,80.97303873,http://www.booking.com/hotel/in/renaissance-lucknow.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=17&checkin_year_month=2016-12&checkout_monthday=18&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000
Ballupura Farms. Village Jamdoli. Agra Road . 302031 Jaipur. India – Show map,Jaipur,Rajasthan,India,5-star hotel,9179,lebua Resort,494670,Royal Suite,6afc605852464c34d13b363faa43a61b,26.91626794,75.88084906,http://www.booking.com/hotel/in/lebua-resort.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=01&checkin_year_month=2016-12&checkout_monthday=02&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000
39 Velachery Road. Near Raj Bhavan. Guindy. 600052 Chennai. India – This neighbourhood is a great choice for travellers interested in business. friendly people. and culture – Check location Great location -,Chennai,Tamil Nadu,India,5-star hotel,9979,Park Hyatt Chennai,488174,Park King Room,962d16e07fee26f41d08e7e41f59089d,13.0110128,80.22346437,http://www.booking.com/hotel/in/park-hyatt-chennai.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=17&checkin_year_month=2016-12&checkout_monthday=18&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000
48/10. Village Majorda. Adao Waddo. Salcette. 403713 Salcete. India – Show map,Salcete,Goa,India,5-star hotel,9969,The Diwa Club,546148,Club Room,e035d88253957cc530c9bac1a544b00d,15.30743521,73.91018397,http://www.booking.com/hotel/in/the-diwa-club.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=16&checkin_year_month=2016-12&checkout_monthday=17&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000
New Delhi NCR NH 8 Sector 83. 122004 Gurgaon. India – Show map,Gurgaon,Haryana,India,5-star hotel,9959,Hyatt Regency Gurgaon,537294,King Room,e58e597da5e25cf7697c93654b9f4202,28.39220263,76.97651267,http://www.booking.com/hotel/in/hyatt-regency-gurgaon.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=01&checkin_year_month=2016-12&checkout_monthday=02&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000
Kuruppam Road. 680001 Trichūr. India – Show map,Trichūr,Kerala,India,5-star hotel,9939,The Garuda Hotels,1765166,Small Double Room,96674c558df82ab5e7a0c7cc601396c5,10.52040225,76.2137926,http://www.booking.com/hotel/in/the-garuda-hotels.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=03&checkin_year_month=2016-12&checkout_monthday=04&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000
P.O. Khimsar. Dist. Nagaur. Rajasthan. 341025 Khimsar. India – Show map,Khimsar,Rajasthan,India,5-star hotel,9929,WelcomHotel Khimsar Fort and Dunes - Member ITC Hotel Group,1628919,Standard Room,dd66605b66dd2f88d2c1964ef21ae7c1,26.97676087,73.4033221,http://www.booking.com/hotel/in/welcom-heritage.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=01&checkin_year_month=2016-12&checkout_monthday=02&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000
No 11 Melakkal main road. Kochadai. 625016 Madurai. India – Great location -,Madurai,Tamil Nadu,India,5-star hotel,9919,Heritage Madurai,559289,Standard Double Room,5a498dda440c26b67be5912fb2c96610,9.936281945,78.0870384,http://www.booking.com/hotel/in/heritage-madurai.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=16&checkin_year_month=2016-12&checkout_monthday=17&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000
Windsor Fountain. G.T Road. 144001 Jalandhar. India – Great location -,Jalandhar,Punjab,India,5-star hotel,9899,Radisson Hotel Jalandhar,569969,Executive Room,452b4a9e68827a9967cedc705d76ea88,31.31883504,75.58481419,http://www.booking.com/hotel/in/radisson-jalandhar.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=01&checkin_year_month=2016-12&checkout_monthday=02&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000
Nerul-Candolim Road. Fatdewada. 403114 Candolim. India – Show map,Candolim,Goa,India,5-star hotel,8389,Deltin Suites,500572,Executive Suite,49c6126bd511675f47e7331a9bda1487,15.50933289,73.79326701,http://www.booking.com/hotel/in/deltin-suites.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=01&checkin_year_month=2016-12&checkout_monthday=02&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000
